Timestep,N,NE,E,SE,S,SW,W,NW,MaxDistance,MaxDirection
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
