well_head_depth_pressure =  175.96349999999998
The string 'wbhp' is found as control!
Walltime = 6.468069076538086 Simulated time = 0.2493989852609538
# 35 	T = 0.324229	DT = 0.0748297	NI = 2	LI=8	DT_MULT=1.3	dX=[0.146 0.    0.007]
Walltime = 6.6072118282318115 Simulated time = 0.32422868083923995
# 36 	T = 0.421507	DT = 0.0972786	NI = 2	LI=9	DT_MULT=1.3	dX=[0.134 0.001 0.007]
Walltime = 6.758472204208374 Simulated time = 0.421507285091012
# 37 	T = 0.547969	DT = 0.126462	NI = 2	LI=9	DT_MULT=1.3	dX=[0.12  0.001 0.007]
Walltime = 6.927547931671143 Simulated time = 0.5479694706183156
# 38 	T = 0.71237	DT = 0.164401	NI = 2	LI=10	DT_MULT=1.3	dX=[0.102 0.001 0.009]
Walltime = 7.09594464302063 Simulated time = 0.7123703118038103
# 39 	T = 0.926091	DT = 0.213721	NI = 2	LI=10	DT_MULT=1.3	dX=[0.081 0.001 0.012]
Walltime = 7.283641815185547 Simulated time = 0.9260914053449534
# 40 	T = 1.20393	DT = 0.277837	NI = 2	LI=10	DT_MULT=1.3	dX=[0.059 0.002 0.015]
Walltime = 7.5089709758758545 Simulated time = 1.2039288269484394
# 41 	T = 1.56512	DT = 0.361189	NI = 2	LI=10	DT_MULT=1.3	dX=[0.038 0.002 0.019]
Walltime = 7.742968320846558 Simulated time = 1.5651174750329715
# 42 	T = 2.03466	DT = 0.469545	NI = 2	LI=8	DT_MULT=1.3	dX=[0.021 0.003 0.023]
Walltime = 7.985516786575317 Simulated time = 2.0346627175428633
# 43 	T = 2.64507	DT = 0.610409	NI = 3	LI=16	DT_MULT=1.3	dX=[0.014 0.003 0.029]
Walltime = 8.297047853469849 Simulated time = 2.6450715328057224
# 44 	T = 3.4386	DT = 0.793531	NI = 3	LI=16	DT_MULT=1.3	dX=[0.016 0.004 0.034]
Walltime = 8.603376865386963 Simulated time = 3.4386029926474393
# 45 	T = 4.47019	DT = 1.03159	NI = 3	LI=17	DT_MULT=1.3	dX=[0.701 0.005 0.057]
Walltime = 8.961301565170288 Simulated time = 4.470193890441671
# 46 	T = 5.81126	DT = 1.34107	NI = 3	LI=17	DT_MULT=1.3	dX=[0.821 0.004 0.081]
Walltime = 9.296555519104004 Simulated time = 5.811262057574172
# 47 	T = 7.55465	DT = 1.74339	NI = 3	LI=18	DT_MULT=1.3	dX=[0.034 0.005 0.104]
Walltime = 9.612370491027832 Simulated time = 7.554650674846425
# 48 	T = 9.82106	DT = 2.26641	NI = 3	LI=17	DT_MULT=1.3	dX=[0.061 0.007 0.132]
Walltime = 9.934561014175415 Simulated time = 9.821055877300353
