Timestep,N,NE,E,SE,S,SW,W,NW,PlumeSurface_m2,MaxDistance,MaxDirection
0,0.0,0.0,0.0,0.0,0.0,770.0566294629929,1115.7510312493207,0.0,21250,21250.0,PlumeSurface_m2
1,0.0,0.0,0.0,0.0,0.0,1041.4476979524136,1329.605022257683,989.4145902358301,52500,52500.0,PlumeSurface_m2
