Timestep,N,NE,E,SE,S,SW,W,NW,PlumeSurface_m2,MaxDistance,MaxDirection
0,0.0,0.0,0.0,0.0,0.0,0.0,1115.7510312493207,0.0,18125,18125.0,PlumeSurface_m2
1,0.0,0.0,0.0,0.0,0.0,1041.4476979524136,1317.2671929800265,989.4145902358301,48125,48125.0,PlumeSurface_m2
