Timestep,N,NE,E,SE,S,SW,W,NW,PlumeSurface_m2,MaxDistance,MaxDirection
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,N
1,0.0,0.0,0.0,0.0,0.0,904.5901933033696,1211.3986751745701,0.0,24375,24375.0,PlumeSurface_m2
2,0.0,0.0,0.0,0.0,0.0,1041.4476979524136,1329.605022257683,989.4145902358301,53125,53125.0,PlumeSurface_m2
3,0.0,0.0,0.0,0.0,0.0,1315.5006984510014,1376.1133046195687,1214.1338533664814,78125,78125.0,PlumeSurface_m2
4,100.2602627607207,0.0,0.0,0.0,414.5087773350299,1449.001856362702,1409.4987577221261,1214.1338533664814,97500,97500.0,PlumeSurface_m2
5,316.3271275055548,142.72107752650834,100.75057214478002,223.76761301786317,636.8461676149245,1494.1972636721546,1409.4987577221261,1257.7610373975228,118125,118125.0,PlumeSurface_m2
